=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  M0559   Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites
  M0560   Rheumatoid arthritis of unspecified site with involvement of other organs and systems
  M05611  Rheumatoid arthritis of right shoulder with involvement of other organs and systems
  M05612  Rheumatoid arthritis of left shoulder with involvement of other organs and systems
  M05619  Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems
  M05621  Rheumatoid arthritis of right elbow with involvement of other organs and systems
  M05622  Rheumatoid arthritis of left elbow with involvement of other organs and systems
  M05629  Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems
  M05631  Rheumatoid arthritis of right wrist with involvement of other organs and systems
  M05632  Rheumatoid arthritis of left wrist with involvement of other organs and systems
  M05639  Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems
  M05641  Rheumatoid arthritis of right hand with involvement of other organs and systems
  M05642  Rheumatoid arthritis of left hand with involvement of other organs and systems
  M05649  Rheumatoid arthritis of unspecified hand with involvement of other organs and systems
  M05651  Rheumatoid arthritis of right hip with involvement of other organs and systems
  M05652  Rheumatoid arthritis of left hip with involvement of other organs and systems
  M05659  Rheumatoid arthritis of unspecified hip with involvement of other organs and systems
  M05661  Rheumatoid arthritis of right knee with involvement of other organs and systems
  M05662  Rheumatoid arthritis of left knee with involvement of other organs and systems
  M05669  Rheumatoid arthritis of unspecified knee with involvement of other organs and systems
  M05671  Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems
  M05672  Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems
  M05679  Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems
  M0569   Rheumatoid arthritis of multiple sites with involvement of other organs and systems
  M0570   Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement
  M05711  Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement
  M05712  Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement
  M05719  Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement
  M05721  Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement
  M05722  Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement
  M05729  Rheumatoid arthritis with rheumatoid factor of unspecified elbow without organ or systems involvement
  M05731  Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement
  M05732  Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement
  M05739  Rheumatoid arthritis with rheumatoid factor of unspecified wrist without organ or systems involvement
  M05741  Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement
  M05742  Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement
  M05749  Rheumatoid arthritis with rheumatoid factor of unspecified hand without organ or systems involvement
  M05751  Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement
  M05752  Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement
  M05759  Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement
  M05761  Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement
  M05762  Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement
  M05769  Rheumatoid arthritis with rheumatoid factor of unspecified knee without organ or systems involvement
  M05771  Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement
  M05772  Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement
  M05779  Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement
  M0579   Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement
  M057A   Rheumatoid arthritis with rheumatoid factor of other specified site without organ or systems involvement
  M0580   Other rheumatoid arthritis with rheumatoid factor of unspecified site
  M05811  Other rheumatoid arthritis with rheumatoid factor of right shoulder
  M05812  Other rheumatoid arthritis with rheumatoid factor of left shoulder
  M05819  Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder
  M05821  Other rheumatoid arthritis with rheumatoid factor of right elbow
  M05822  Other rheumatoid arthritis with rheumatoid factor of left elbow
  M05829  Other rheumatoid arthritis with rheumatoid factor of unspecified elbow
  M05831  Other rheumatoid arthritis with rheumatoid factor of right wrist
  M05832  Other rheumatoid arthritis with rheumatoid factor of left wrist
  M05839  Other rheumatoid arthritis with rheumatoid factor of unspecified wrist
  M05841  Other rheumatoid arthritis with rheumatoid factor of right hand
  M05842  Other rheumatoid arthritis with rheumatoid factor of left hand
  M05849  Other rheumatoid arthritis with rheumatoid factor of unspecified hand
  M05851  Other rheumatoid arthritis with rheumatoid factor of right hip
  M05852  Other rheumatoid arthritis with rheumatoid factor of left hip
  M05859  Other rheumatoid arthritis with rheumatoid factor of unspecified hip
  M05861  Other rheumatoid arthritis with rheumatoid factor of right knee
  M05862  Other rheumatoid arthritis with rheumatoid factor of left knee
  M05869  Other rheumatoid arthritis with rheumatoid factor of unspecified knee
  M05871  Other rheumatoid arthritis with rheumatoid factor of right ankle and foot
  M05872  Other rheumatoid arthritis with rheumatoid factor of left ankle and foot
  M05879  Other rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot
  M0589   Other rheumatoid arthritis with rheumatoid factor of multiple sites
  M058A   Other rheumatoid arthritis with rheumatoid factor of other specified site
  M059    Rheumatoid arthritis with rheumatoid factor, unspecified
  M05A    Abnormal rheumatoid factor and anti-citrullinated protein antibody with rheumatoid arthritis
  M0600   Rheumatoid arthritis without rheumatoid factor, unspecified site
  M06011  Rheumatoid arthritis without rheumatoid factor, right shoulder
  M06012  Rheumatoid arthritis without rheumatoid factor, left shoulder
  M06019  Rheumatoid arthritis without rheumatoid factor, unspecified shoulder
  M06021  Rheumatoid arthritis without rheumatoid factor, right elbow
  M06022  Rheumatoid arthritis without rheumatoid factor, left elbow
  M06029  Rheumatoid arthritis without rheumatoid factor, unspecified elbow
  M06031  Rheumatoid arthritis without rheumatoid factor, right wrist
  M06032  Rheumatoid arthritis without rheumatoid factor, left wrist
  M06039  Rheumatoid arthritis without rheumatoid factor, unspecified wrist
  M06041  Rheumatoid arthritis without rheumatoid factor, right hand
  M06042  Rheumatoid arthritis without rheumatoid factor, left hand
  M06049  Rheumatoid arthritis without rheumatoid factor, unspecified hand
  M06051  Rheumatoid arthritis without rheumatoid factor, right hip
  M06052  Rheumatoid arthritis without rheumatoid factor, left hip
  M06059  Rheumatoid arthritis without rheumatoid factor, unspecified hip
  M06061  Rheumatoid arthritis without rheumatoid factor, right knee
  M06062  Rheumatoid arthritis without rheumatoid factor, left knee
  M06069  Rheumatoid arthritis without rheumatoid factor, unspecified knee
  M06071  Rheumatoid arthritis without rheumatoid factor, right ankle and foot
  M06072  Rheumatoid arthritis without rheumatoid factor, left ankle and foot
  M06079  Rheumatoid arthritis without rheumatoid factor, unspecified ankle and foot
  M0608   Rheumatoid arthritis without rheumatoid factor, vertebrae
  M0609   Rheumatoid arthritis without rheumatoid factor, multiple sites
  M060A   Rheumatoid arthritis without rheumatoid factor, other specified site
  M061    Adult-onset Still's disease
  M0620   Rheumatoid bursitis, unspecified site
  M06211  Rheumatoid bursitis, right shoulder
  M06212  Rheumatoid bursitis, left shoulder
  M06219  Rheumatoid bursitis, unspecified shoulder
  M06221  Rheumatoid bursitis, right elbow
  M06222  Rheumatoid bursitis, left elbow
  M06229  Rheumatoid bursitis, unspecified elbow
  M06231  Rheumatoid bursitis, right wrist
  M06232  Rheumatoid bursitis, left wrist
  M06239  Rheumatoid bursitis, unspecified wrist
  M06241  Rheumatoid bursitis, right hand
  M06242  Rheumatoid bursitis, left hand
  M06249  Rheumatoid bursitis, unspecified hand
  M06251  Rheumatoid bursitis, right hip
  M06252  Rheumatoid bursitis, left hip
  M06259  Rheumatoid bursitis, unspecified hip
  M06261  Rheumatoid bursitis, right knee
  M06262  Rheumatoid bursitis, left knee
  M06269  Rheumatoid bursitis, unspecified knee
  M06271  Rheumatoid bursitis, right ankle and foot
  M06272  Rheumatoid bursitis, left ankle and foot
  M06279  Rheumatoid bursitis, unspecified ankle and foot
  M0628   Rheumatoid bursitis, vertebrae
  M0629   Rheumatoid bursitis, multiple sites
  M0630   Rheumatoid nodule, unspecified site
  M06311  Rheumatoid nodule, right shoulder
  M06312  Rheumatoid nodule, left shoulder
  M06319  Rheumatoid nodule, unspecified shoulder
  M06321  Rheumatoid nodule, right elbow
  M06322  Rheumatoid nodule, left elbow
  M06329  Rheumatoid nodule, unspecified elbow
  M06331  Rheumatoid nodule, right wrist
  M06332  Rheumatoid nodule, left wrist
  M06339  Rheumatoid nodule, unspecified wrist
  M06341  Rheumatoid nodule, right hand
  M06342  Rheumatoid nodule, left hand
  M06349  Rheumatoid nodule, unspecified hand
  M06351  Rheumatoid nodule, right hip
  M06352  Rheumatoid nodule, left hip
  M06359  Rheumatoid nodule, unspecified hip
  M06361  Rheumatoid nodule, right knee
  M06362  Rheumatoid nodule, left knee
  M06369  Rheumatoid nodule, unspecified knee
  M06371  Rheumatoid nodule, right ankle and foot
  M06372  Rheumatoid nodule, left ankle and foot
  M06379  Rheumatoid nodule, unspecified ankle and foot
  M0638   Rheumatoid nodule, vertebrae
  M0639   Rheumatoid nodule, multiple sites
  M064    Inflammatory polyarthropathy
  M0680   Other specified rheumatoid arthritis, unspecified site
  M06811  Other specified rheumatoid arthritis, right shoulder
  M06812  Other specified rheumatoid arthritis, left shoulder
  M06819  Other specified rheumatoid arthritis, unspecified shoulder
  M06821  Other specified rheumatoid arthritis, right elbow
  M06822  Other specified rheumatoid arthritis, left elbow
  M06829  Other specified rheumatoid arthritis, unspecified elbow
  M06831  Other specified rheumatoid arthritis, right wrist
  M06832  Other specified rheumatoid arthritis, left wrist
  M06839  Other specified rheumatoid arthritis, unspecified wrist
  M06841  Other specified rheumatoid arthritis, right hand
  M06842  Other specified rheumatoid arthritis, left hand
  M06849  Other specified rheumatoid arthritis, unspecified hand
  M06851  Other specified rheumatoid arthritis, right hip
  M06852  Other specified rheumatoid arthritis, left hip
