:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  0VBT0ZX Excision of Prepuce, Open Approach, Diagnostic
  0VBT0ZZ Excision of Prepuce, Open Approach
  0VBT3ZX Excision of Prepuce, Percutaneous Approach, Diagnostic
  0VBT3ZZ Excision of Prepuce, Percutaneous Approach
  0VBT4ZX Excision of Prepuce, Percutaneous Endoscopic Approach, Diagnostic
  0VBT4ZZ Excision of Prepuce, Percutaneous Endoscopic Approach
  0VBTXZX Excision of Prepuce, External Approach, Diagnostic
  0VBTXZZ Excision of Prepuce, External Approach
  0VCS0ZZ Extirpation of Matter from Penis, Open Approach
  0VCS3ZZ Extirpation of Matter from Penis, Percutaneous Approach
  0VCS4ZZ Extirpation of Matter from Penis, Percutaneous Endoscopic Approach
  0VCT0ZZ Extirpation of Matter from Prepuce, Open Approach
  0VCT3ZZ Extirpation of Matter from Prepuce, Percutaneous Approach
  0VCT4ZZ Extirpation of Matter from Prepuce, Percutaneous Endoscopic Approach
  0VCTXZZ Extirpation of Matter from Prepuce, External Approach
  0VJS0ZZ Inspection of Penis, Open Approach
  0VMSXZZ Reattachment of Penis, External Approach
  0VNS0ZZ Release Penis, Open Approach
  0VNS3ZZ Release Penis, Percutaneous Approach
  0VNS4ZZ Release Penis, Percutaneous Endoscopic Approach
  0VNSXZZ Release Penis, External Approach
  0VPS00Z Removal of Drainage Device from Penis, Open Approach
  0VPS03Z Removal of Infusion Device from Penis, Open Approach
  0VPS07Z Removal of Autologous Tissue Substitute from Penis, Open Approach
  0VPS0JZ Removal of Synthetic Substitute from Penis, Open Approach
  0VPS0KZ Removal of Nonautologous Tissue Substitute from Penis, Open Approach
  0VPS0YZ Removal of Other Device from Penis, Open Approach
  0VPS30Z Removal of Drainage Device from Penis, Percutaneous Approach
  0VPS33Z Removal of Infusion Device from Penis, Percutaneous Approach
  0VPS37Z Removal of Autologous Tissue Substitute from Penis, Percutaneous Approach
  0VPS3JZ Removal of Synthetic Substitute from Penis, Percutaneous Approach
  0VPS3KZ Removal of Nonautologous Tissue Substitute from Penis, Percutaneous Approach
  0VPS40Z Removal of Drainage Device from Penis, Percutaneous Endoscopic Approach
  0VPS43Z Removal of Infusion Device from Penis, Percutaneous Endoscopic Approach
  0VPS47Z Removal of Autologous Tissue Substitute from Penis, Percutaneous Endoscopic Approach
  0VPS4JZ Removal of Synthetic Substitute from Penis, Percutaneous Endoscopic Approach
  0VPS4KZ Removal of Nonautologous Tissue Substitute from Penis, Percutaneous Endoscopic Approach
  0VPS77Z Removal of Autologous Tissue Substitute from Penis, Via Natural or Artificial Opening
  0VPS7JZ Removal of Synthetic Substitute from Penis, Via Natural or Artificial Opening
  0VPS7KZ Removal of Nonautologous Tissue Substitute from Penis, Via Natural or Artificial Opening
  0VPS87Z Removal of Autologous Tissue Substitute from Penis, Via Natural or Artificial Opening Endoscopic
  0VPS8JZ Removal of Synthetic Substitute from Penis, Via Natural or Artificial Opening Endoscopic
  0VPS8KZ Removal of Nonautologous Tissue Substitute from Penis, Via Natural or Artificial Opening Endoscopic
  0VQS0ZZ Repair Penis, Open Approach
  0VQS3ZZ Repair Penis, Percutaneous Approach
  0VQS4ZZ Repair Penis, Percutaneous Endoscopic Approach
  0VQSXZZ Repair Penis, External Approach
  0VQT0ZZ Repair Prepuce, Open Approach
  0VQT3ZZ Repair Prepuce, Percutaneous Approach
  0VQT4ZZ Repair Prepuce, Percutaneous Endoscopic Approach
  0VQTXZZ Repair Prepuce, External Approach
  0VTS0ZZ Resection of Penis, Open Approach
  0VTS4ZZ Resection of Penis, Percutaneous Endoscopic Approach
  0VTSXZZ Resection of Penis, External Approach
  0VUS07Z Supplement Penis with Autologous Tissue Substitute, Open Approach
  0VUS0JZ Supplement Penis with Synthetic Substitute, Open Approach
  0VUS0KZ Supplement Penis with Nonautologous Tissue Substitute, Open Approach
  0VUS47Z Supplement Penis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0VUS4JZ Supplement Penis with Synthetic Substitute, Percutaneous Endoscopic Approach
  0VUS4KZ Supplement Penis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  0VUT07Z Supplement Prepuce with Autologous Tissue Substitute, Open Approach
  0VUT0JZ Supplement Prepuce with Synthetic Substitute, Open Approach
  0VUT0KZ Supplement Prepuce with Nonautologous Tissue Substitute, Open Approach
  0VUT47Z Supplement Prepuce with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0VUT4JZ Supplement Prepuce with Synthetic Substitute, Percutaneous Endoscopic Approach
  0VUT4KZ Supplement Prepuce with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  0VUTX7Z Supplement Prepuce with Autologous Tissue Substitute, External Approach
  0VUTXJZ Supplement Prepuce with Synthetic Substitute, External Approach
  0VUTXKZ Supplement Prepuce with Nonautologous Tissue Substitute, External Approach
  0VWS00Z Revision of Drainage Device in Penis, Open Approach
  0VWS03Z Revision of Infusion Device in Penis, Open Approach
  0VWS07Z Revision of Autologous Tissue Substitute in Penis, Open Approach
  0VWS0JZ Revision of Synthetic Substitute in Penis, Open Approach
  0VWS0KZ Revision of Nonautologous Tissue Substitute in Penis, Open Approach
  0VWS0YZ Revision of Other Device in Penis, Open Approach
  0VWS30Z Revision of Drainage Device in Penis, Percutaneous Approach
  0VWS33Z Revision of Infusion Device in Penis, Percutaneous Approach
  0VWS37Z Revision of Autologous Tissue Substitute in Penis, Percutaneous Approach
  0VWS3JZ Revision of Synthetic Substitute in Penis, Percutaneous Approach
  0VWS3KZ Revision of Nonautologous Tissue Substitute in Penis, Percutaneous Approach
  0VWS40Z Revision of Drainage Device in Penis, Percutaneous Endoscopic Approach
  0VWS43Z Revision of Infusion Device in Penis, Percutaneous Endoscopic Approach
  0VWS47Z Revision of Autologous Tissue Substitute in Penis, Percutaneous Endoscopic Approach
  0VWS4JZ Revision of Synthetic Substitute in Penis, Percutaneous Endoscopic Approach
  0VWS4KZ Revision of Nonautologous Tissue Substitute in Penis, Percutaneous Endoscopic Approach
  0VWS70Z Revision of Drainage Device in Penis, Via Natural or Artificial Opening
  0VWS73Z Revision of Infusion Device in Penis, Via Natural or Artificial Opening
  0VWS77Z Revision of Autologous Tissue Substitute in Penis, Via Natural or Artificial Opening
  0VWS7JZ Revision of Synthetic Substitute in Penis, Via Natural or Artificial Opening
  0VWS7KZ Revision of Nonautologous Tissue Substitute in Penis, Via Natural or Artificial Opening
  0VWS80Z Revision of Drainage Device in Penis, Via Natural or Artificial Opening Endoscopic
  0VWS83Z Revision of Infusion Device in Penis, Via Natural or Artificial Opening Endoscopic
  0VWS87Z Revision of Autologous Tissue Substitute in Penis, Via Natural or Artificial Opening Endoscopic
  0VWS8JZ Revision of Synthetic Substitute in Penis, Via Natural or Artificial Opening Endoscopic
  0VWS8KZ Revision of Nonautologous Tissue Substitute in Penis, Via Natural or Artificial Opening Endoscopic
  0VXT0ZD Transfer Prepuce to Urethra, Open Approach
  0VXT0ZS Transfer Prepuce to Penis, Open Approach
  0VXTXZD Transfer Prepuce to Urethra, External Approach
  0VXTXZS Transfer Prepuce to Penis, External Approach
  0VYS0Z0 Transplantation of Penis, Allogeneic, Open Approach
  0VYS0Z1 Transplantation of Penis, Syngeneic, Open Approach
  0VYS0Z2 Transplantation of Penis, Zooplastic, Open Approach
  0W4M070 Creation of Vagina in Male Perineum with Autologous Tissue Substitute, Open Approach
  0W4M0J0 Creation of Vagina in Male Perineum with Synthetic Substitute, Open Approach
  0W4M0K0 Creation of Vagina in Male Perineum with Nonautologous Tissue Substitute, Open Approach
  0WPM07Z Removal of Autologous Tissue Substitute from Male Perineum, Open Approach
  0WPM0KZ Removal of Nonautologous Tissue Substitute from Male Perineum, Open Approach
  0WPM37Z Removal of Autologous Tissue Substitute from Male Perineum, Percutaneous Approach
  0WPM3KZ Removal of Nonautologous Tissue Substitute from Male Perineum, Percutaneous Approach
  0WPM47Z Removal of Autologous Tissue Substitute from Male Perineum, Percutaneous Endoscopic Approach
  0WPM4KZ Removal of Nonautologous Tissue Substitute from Male Perineum, Percutaneous Endoscopic Approach
  0WPMX7Z Removal of Autologous Tissue Substitute from Male Perineum, External Approach
  0WPMXJZ Removal of Synthetic Substitute from Male Perineum, External Approach
  0WPMXKZ Removal of Nonautologous Tissue Substitute from Male Perineum, External Approach
  0WUM07Z Supplement Male Perineum with Autologous Tissue Substitute, Open Approach
  0WUM47Z Supplement Male Perineum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0WWM07Z Revision of Autologous Tissue Substitute in Male Perineum, Open Approach
  0WWM0KZ Revision of Nonautologous Tissue Substitute in Male Perineum, Open Approach
  0WWM37Z Revision of Autologous Tissue Substitute in Male Perineum, Percutaneous Approach
  0WWM3KZ Revision of Nonautologous Tissue Substitute in Male Perineum, Percutaneous Approach
  0WWM47Z Revision of Autologous Tissue Substitute in Male Perineum, Percutaneous Endoscopic Approach
  0WWM4KZ Revision of Nonautologous Tissue Substitute in Male Perineum, Percutaneous Endoscopic Approach

+-------------------+
| Testes Procedures |
+------------+------+
| CC or MCC  | DRG  |
+------------+------+
|    Yes     | 711  |
+------------+------+
|     No     | 712  |
+------------+------+

DRG 711 Testes Procedures with CC/MCC
DRG 712 Testes Procedures without CC/MCC

OPERATING ROOM PROCEDURES

  0V1N07J Bypass Right Vas Deferens to Right Epididymis with Autologous Tissue Substitute, Open Approach
  0V1N07K Bypass Right Vas Deferens to Left Epididymis with Autologous Tissue Substitute, Open Approach
  0V1N07N Bypass Right Vas Deferens to Right Vas Deferens with Autologous Tissue Substitute, Open Approach
  0V1N07P Bypass Right Vas Deferens to Left Vas Deferens with Autologous Tissue Substitute, Open Approach
  0V1N0JJ Bypass Right Vas Deferens to Right Epididymis with Synthetic Substitute, Open Approach
  0V1N0JK Bypass Right Vas Deferens to Left Epididymis with Synthetic Substitute, Open Approach
  0V1N0JN Bypass Right Vas Deferens to Right Vas Deferens with Synthetic Substitute, Open Approach
  0V1N0JP Bypass Right Vas Deferens to Left Vas Deferens with Synthetic Substitute, Open Approach
  0V1N0KJ Bypass Right Vas Deferens to Right Epididymis with Nonautologous Tissue Substitute, Open Approach
  0V1N0KK Bypass Right Vas Deferens to Left Epididymis with Nonautologous Tissue Substitute, Open Approach
  0V1N0KN Bypass Right Vas Deferens to Right Vas Deferens with Nonautologous Tissue Substitute, Open Approach
  0V1N0KP Bypass Right Vas Deferens to Left Vas Deferens with Nonautologous Tissue Substitute, Open Approach
  0V1N0ZJ Bypass Right Vas Deferens to Right Epididymis, Open Approach
  0V1N0ZK Bypass Right Vas Deferens to Left Epididymis, Open Approach
  0V1N0ZN Bypass Right Vas Deferens to Right Vas Deferens, Open Approach
  0V1N0ZP Bypass Right Vas Deferens to Left Vas Deferens, Open Approach
  0V1N47J Bypass Right Vas Deferens to Right Epididymis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0V1N47K Bypass Right Vas Deferens to Left Epididymis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0V1N47N Bypass Right Vas Deferens to Right Vas Deferens with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0V1N47P Bypass Right Vas Deferens to Left Vas Deferens with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0V1N4JJ Bypass Right Vas Deferens to Right Epididymis with Synthetic Substitute, Percutaneous Endoscopic Approach
  0V1N4JK Bypass Right Vas Deferens to Left Epididymis with Synthetic Substitute, Percutaneous Endoscopic Approach
  0V1N4JN Bypass Right Vas Deferens to Right Vas Deferens with Synthetic Substitute, Percutaneous Endoscopic Approach
  0V1N4JP Bypass Right Vas Deferens to Left Vas Deferens with Synthetic Substitute, Percutaneous Endoscopic Approach
  0V1N4KJ Bypass Right Vas Deferens to Right Epididymis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  0V1N4KK Bypass Right Vas Deferens to Left Epididymis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  0V1N4KN Bypass Right Vas Deferens to Right Vas Deferens with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  0V1N4KP Bypass Right Vas Deferens to Left Vas Deferens with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  0V1N4ZJ Bypass Right Vas Deferens to Right Epididymis, Percutaneous Endoscopic Approach
  0V1N4ZK Bypass Right Vas Deferens to Left Epididymis, Percutaneous Endoscopic Approach
  0V1N4ZN Bypass Right Vas Deferens to Right Vas Deferens, Percutaneous Endoscopic Approach
